elapsed_sec,detected_targets,verified_targets,total_deposits,total_skipped,overall_saving_pct,active_cells,mean_active_staleness_sec,max_active_staleness_sec,max_pheromone
2.0,1,0,0,0,0.0,288,1.353,1.385,43.8
4.0,1,0,0,0,0.0,288,1.972,3.385,58.68
6.0,1,0,0,0,0.0,285,3.774,17.004,46.54
8.0,1,0,0,0,0.0,313,2.05,19.004,59.26
10.0,1,0,0,0,0.0,305,4.067,21.004,41.85
12.0,1,0,37,1451,97.51,299,3.82,23.004,43.79
14.0,1,0,37,1451,97.51,324,1.825,25.004,64.8
16.0,1,0,37,1451,97.51,315,3.837,27.004,45.8
18.0,1,0,37,1451,97.51,304,4.761,29.004,32.44
20.0,1,0,37,1451,97.51,325,1.429,31.003,66.81
22.0,1,0,62,2917,97.92,323,3.01,33.003,47.25
24.0,2,0,62,2917,97.92,535,1.562,5.372,49.2
26.0,3,0,62,2917,97.92,782,1.078,6.101,79.48
28.0,3,0,62,2917,97.92,910,1.962,8.101,56.92
30.0,3,0,62,2917,97.92,1102,1.998,10.101,65.21
32.0,3,1,244,4234,94.55,1107,2.07,12.101,60.02
34.0,3,1,244,4234,94.55,1124,2.927,14.101,49.79
36.0,3,1,244,4234,94.55,1122,2.564,16.101,66.32
38.0,3,1,244,4234,94.55,1123,2.608,18.101,60.97
40.0,3,1,244,4234,94.55,1108,3.31,16.412,55.0
42.0,3,1,357,5621,94.03,1111,2.685,18.408,90.57
44.0,3,1,357,5621,94.03,1110,2.329,20.112,67.72
46.0,3,1,357,5621,94.03,1079,2.944,22.112,54.95
48.0,3,1,357,5621,94.03,1056,2.162,24.098,82.85
50.0,3,1,357,5621,94.03,1060,1.83,19.356,66.67
52.0,3,1,502,6976,93.29,1038,2.221,21.356,60.25
54.0,3,1,502,6976,93.29,1033,2.218,23.356,79.97
56.0,3,1,502,6976,93.29,1040,1.906,25.356,71.18
58.0,3,1,502,6976,93.29,1024,2.143,27.356,65.69
60.0,3,1,502,6976,93.29,1031,2.051,29.356,76.69
62.0,3,1,627,8349,93.01,1039,1.594,31.356,72.42
64.0,3,1,627,8349,93.01,1025,2.202,33.356,64.21
66.0,3,1,627,8349,93.01,1015,2.521,35.356,45.14
68.0,3,1,627,8349,93.01,1043,1.63,37.356,70.8
70.0,3,1,627,8349,93.01,1019,2.191,39.356,64.8
72.0,3,1,759,9714,92.75,1014,2.556,41.356,45.38
74.0,3,1,759,9714,92.75,1038,1.841,43.356,69.1
76.0,3,1,759,9714,92.75,1021,2.321,45.356,60.99
78.0,3,1,759,9714,92.75,1014,2.55,47.356,49.82
80.0,3,1,759,9714,92.75,1038,1.882,49.356,71.04
82.0,3,1,883,11087,92.62,1023,2.041,51.356,62.15
84.0,3,1,883,11087,92.62,1016,2.482,53.356,43.62
86.0,3,1,883,11087,92.62,1045,1.972,55.356,70.14
88.0,3,1,883,11087,92.62,1025,2.229,57.356,59.7
90.0,3,1,883,11087,92.62,1023,2.598,59.356,47.3
92.0,3,1,1028,12440,92.37,1044,2.504,61.356,72.42
94.0,3,1,1028,12440,92.37,1025,3.483,63.356,63.36
96.0,3,1,1028,12440,92.37,1014,4.525,65.356,48.5
98.0,3,1,1028,12440,92.37,1021,4.596,67.356,68.87
100.0,3,1,1028,12440,92.37,993,5.477,69.356,57.7
102.0,3,1,1092,13875,92.7,953,6.346,22.733,50.08
104.0,3,1,1092,13875,92.7,950,5.858,19.507,72.57
106.0,3,1,1092,13875,92.7,895,6.293,21.507,57.35
108.0,3,1,1092,13875,92.7,797,6.127,23.507,49.37
110.0,3,1,1092,13875,92.7,719,3.124,23.002,79.37
112.0,3,1,1160,15307,92.96,636,2.219,21.921,57.15
114.0,3,1,1160,15307,92.96,612,2.295,23.701,52.58
116.0,3,1,1160,15307,92.96,641,0.839,25.501,80.9
118.0,3,2,1160,15307,92.96,619,1.832,27.501,59.87
120.0,3,2,1160,15307,92.96,613,1.972,29.501,53.49
122.0,3,2,1245,16722,93.07,620,1.532,31.501,78.1
124.0,3,2,1245,16722,93.07,602,2.028,33.501,54.82
126.0,3,2,1245,16722,93.07,588,2.321,10.53,51.54
128.0,3,2,1245,16722,93.07,595,1.613,12.448,77.12
130.0,3,2,1245,16722,93.07,592,1.842,14.448,54.12
132.0,3,2,1323,18144,93.2,588,1.941,5.346,51.77
134.0,3,2,1323,18144,93.2,599,1.222,5.302,75.32
136.0,3,2,1323,18144,93.2,582,1.791,7.302,52.86
138.0,3,2,1323,18144,93.2,576,1.77,9.302,49.98
140.0,3,2,1323,18144,93.2,598,1.192,49.501,74.88
142.0,3,2,1401,19566,93.32,587,2.084,51.501,52.65
144.0,3,2,1401,19566,93.32,580,2.058,53.501,49.86
146.0,3,2,1401,19566,93.32,595,1.592,55.501,73.54
148.0,3,2,1401,19566,93.32,580,1.705,8.017,54.02
150.0,3,2,1401,19566,93.32,581,2.491,10.017,51.94
152.0,3,2,1472,20992,93.45,599,1.466,9.522,71.65
154.0,3,2,1472,20992,93.45,587,1.664,9.34,53.25
156.0,3,2,1472,20992,93.45,574,2.264,13.522,46.77
158.0,3,2,1472,20992,93.45,585,1.356,10.514,70.76
160.0,3,2,1472,20992,93.45,578,1.545,10.514,53.01
162.0,3,2,1544,22420,93.56,572,2.134,8.244,53.11
164.0,3,2,1544,22420,93.56,571,2.17,10.244,52.62
166.0,3,2,1544,22420,93.56,582,1.638,75.501,61.47
168.0,3,2,1544,22420,93.56,573,2.235,77.501,60.25
170.0,3,2,1544,22420,93.56,566,2.15,79.501,42.98
172.0,3,2,1617,23844,93.65,582,1.648,81.501,64.44
174.0,3,2,1617,23844,93.65,566,1.967,5.152,60.96
176.0,3,2,1617,23844,93.65,564,1.85,5.87,42.86
178.0,3,2,1617,23844,93.65,580,1.587,4.833,66.48
180.0,3,2,1617,23844,93.65,566,1.931,5.107,60.06
182.0,3,2,1690,25271,93.73,565,2.124,5.869,58.62
184.0,3,2,1690,25271,93.73,578,1.638,7.714,66.84
186.0,3,2,1690,25271,93.73,568,1.776,9.714,57.59
188.0,3,2,1690,25271,93.73,564,2.275,7.209,50.13
190.0,3,2,1690,25271,93.73,583,1.592,9.209,63.96
192.0,3,2,1759,26702,93.82,570,1.495,11.209,57.2
194.0,3,2,1759,26702,93.82,563,2.407,103.501,40.16
196.0,3,2,1759,26702,93.82,587,1.905,105.501,64.66
198.0,3,2,1759,26702,93.82,576,1.886,107.501,55.96
200.0,3,2,1759,26702,93.82,573,2.26,109.501,39.58
202.0,3,2,1836,28125,93.87,581,1.803,6.122,62.27
204.0,3,2,1836,28125,93.87,569,1.894,8.121,54.44
206.0,3,2,1836,28125,93.87,561,2.151,10.121,38.16
208.0,3,2,1836,28125,93.87,577,1.777,9.301,62.3
