elapsed_sec,detected_targets,verified_targets,total_deposits,total_skipped,overall_saving_pct,active_cells,mean_active_staleness_sec,max_active_staleness_sec,max_pheromone
2.0,0,0,0,0,0.0,289,1.455,1.491,43.04
4.0,0,0,0,0,0.0,290,2.097,3.491,57.06
6.0,0,0,0,0,0.0,287,4.071,5.491,37.56
8.0,1,0,0,0,0.0,315,1.687,7.417,58.23
10.0,1,0,0,0,0.0,309,2.967,9.417,52.02
12.0,1,0,38,1459,97.46,301,3.754,11.417,46.44
14.0,1,0,38,1459,97.46,321,2.172,13.417,63.68
16.0,1,0,38,1459,97.46,317,3.217,15.417,46.65
18.0,1,0,38,1459,97.46,307,4.457,17.417,31.89
20.0,1,0,38,1459,97.46,323,1.808,19.417,65.67
22.0,1,0,60,2930,97.99,322,2.436,10.713,48.9
24.0,2,0,60,2930,97.99,541,1.56,5.444,57.36
26.0,3,0,60,2930,97.99,786,1.151,6.204,78.52
28.0,3,0,60,2930,97.99,948,1.987,8.204,55.71
30.0,3,0,60,2930,97.99,1110,2.021,10.204,64.52
32.0,3,0,247,4243,94.5,1134,2.205,12.204,75.19
34.0,3,0,247,4243,94.5,1124,2.911,14.203,60.3
36.0,3,0,247,4243,94.5,1122,2.629,14.516,68.27
38.0,3,0,247,4243,94.5,1125,2.289,16.516,73.28
40.0,3,0,247,4243,94.5,1108,3.246,18.516,62.45
42.0,3,1,342,5648,94.29,1055,2.713,18.463,71.59
44.0,3,1,342,5648,94.29,1066,2.256,20.309,61.55
46.0,3,1,342,5648,94.29,1082,2.872,22.235,55.08
48.0,3,1,342,5648,94.29,1064,2.183,24.235,80.93
50.0,3,1,342,5648,94.29,1058,1.92,25.907,62.59
52.0,3,1,485,7005,93.52,1033,2.292,15.402,60.37
54.0,3,1,485,7005,93.52,1033,2.093,17.402,77.28
56.0,3,1,485,7005,93.52,1052,1.843,19.402,64.28
58.0,3,1,485,7005,93.52,1032,2.454,21.402,61.76
60.0,3,1,485,7005,93.52,1035,2.047,23.402,73.8
62.0,3,1,618,8372,93.13,1048,1.692,25.402,68.17
64.0,3,1,618,8372,93.13,1024,2.222,27.402,64.64
66.0,3,1,618,8372,93.13,1013,2.636,29.402,46.08
68.0,3,1,618,8372,93.13,1038,1.63,31.402,70.86
70.0,3,1,618,8372,93.13,1031,2.169,33.402,65.0
72.0,3,1,758,9732,92.77,1020,2.589,35.402,45.54
74.0,3,1,758,9732,92.77,1047,2.056,37.402,72.16
76.0,3,1,758,9732,92.77,1026,2.201,39.402,63.7
78.0,3,1,758,9732,92.77,1018,2.46,41.402,47.68
80.0,3,1,758,9732,92.77,1046,1.96,43.402,71.81
82.0,3,1,881,11109,92.65,1025,2.156,45.402,60.17
84.0,3,1,881,11109,92.65,1017,2.363,47.402,44.41
86.0,3,1,881,11109,92.65,1041,2.058,49.402,66.34
88.0,3,1,881,11109,92.65,1022,2.443,51.402,57.82
90.0,3,1,881,11109,92.65,1019,2.51,53.402,60.31
92.0,3,1,1013,12475,92.49,1041,2.734,108.004,68.07
94.0,3,1,1013,12475,92.49,1023,3.668,110.004,58.14
96.0,3,2,1013,12475,92.49,938,4.9,112.004,51.56
98.0,3,2,1013,12475,92.49,992,5.011,61.402,62.92
100.0,3,2,1013,12475,92.49,957,5.525,16.289,61.12
102.0,3,2,1096,13891,92.69,906,6.377,18.289,47.42
104.0,3,2,1096,13891,92.69,858,6.267,20.289,60.7
106.0,3,2,1096,13891,92.69,748,5.494,20.27,53.39
108.0,3,2,1096,13891,92.69,674,5.097,20.205,52.76
110.0,3,2,1096,13891,92.69,641,2.999,21.725,64.51
112.0,3,2,1170,15314,92.9,594,2.796,22.024,59.37
114.0,3,2,1170,15314,92.9,563,2.288,23.805,44.92
116.0,3,2,1170,15314,92.9,573,1.47,25.805,70.15
118.0,3,2,1170,15314,92.9,560,1.969,27.665,61.8
120.0,3,2,1170,15314,92.9,547,2.306,29.665,43.93
122.0,3,2,1231,16753,93.16,556,1.369,31.665,72.64
124.0,3,2,1231,16753,93.16,551,1.87,32.872,58.0
126.0,3,2,1231,16753,93.16,542,1.823,34.872,52.61
128.0,3,2,1231,16753,93.16,556,1.386,37.665,75.24
130.0,3,2,1231,16753,93.16,549,1.77,39.665,54.22
132.0,3,2,1298,18186,93.34,540,1.758,41.665,49.58
134.0,3,2,1298,18186,93.34,551,1.402,43.665,75.5
136.0,3,2,1298,18186,93.34,556,1.879,45.665,53.57
138.0,3,2,1298,18186,93.34,540,2.021,46.872,47.83
140.0,3,2,1298,18186,93.34,552,1.384,48.872,73.0
142.0,3,2,1364,19620,93.5,555,1.736,50.872,51.72
144.0,3,2,1364,19620,93.5,537,1.908,52.872,50.27
146.0,3,2,1364,19620,93.5,553,0.956,54.872,71.0
148.0,3,2,1364,19620,93.5,552,1.564,56.872,56.59
150.0,3,2,1364,19620,93.5,534,1.91,58.872,51.96
152.0,3,2,1428,21055,93.65,534,1.854,60.872,47.98
154.0,3,2,1428,21055,93.65,554,1.804,63.665,61.5
156.0,3,2,1428,21055,93.65,548,1.975,65.665,50.69
158.0,3,2,1428,21055,93.65,544,1.884,67.665,36.07
160.0,3,2,1428,21055,93.65,560,2.157,69.665,67.45
162.0,3,2,1503,22479,93.73,551,2.389,71.665,48.5
164.0,3,2,1503,22479,93.73,543,1.755,73.665,44.74
166.0,3,2,1503,22479,93.73,552,1.862,74.873,63.99
168.0,3,2,1503,22479,93.73,551,2.198,76.872,45.43
170.0,3,2,1503,22479,93.73,547,2.476,79.665,42.23
172.0,3,2,1573,23908,93.83,564,2.337,81.665,60.05
174.0,3,2,1573,23908,93.83,551,2.728,83.665,42.64
176.0,3,2,1573,23908,93.83,541,2.494,85.665,48.96
178.0,3,2,1573,23908,93.83,556,1.905,87.665,60.2
180.0,3,2,1573,23908,93.83,549,1.928,88.872,49.26
182.0,3,2,1639,25342,93.93,541,2.178,90.873,45.2
184.0,3,2,1639,25342,93.93,556,1.636,92.872,57.69
186.0,3,2,1639,25342,93.93,550,1.976,94.873,50.32
188.0,3,2,1639,25342,93.93,554,2.434,96.872,61.77
190.0,3,2,1639,25342,93.93,569,1.997,98.872,55.8
192.0,3,2,1713,26768,93.99,555,2.351,100.872,55.26
194.0,3,2,1713,26768,93.99,545,2.598,102.872,39.67
196.0,3,2,1713,26768,93.99,558,1.368,104.872,64.46
198.0,3,2,1713,26768,93.99,544,1.96,106.872,54.73
200.0,3,2,1713,26768,93.99,541,2.334,108.872,42.17
202.0,3,2,1777,28204,94.07,553,1.642,110.872,64.94
204.0,3,2,1777,28204,94.07,542,1.857,112.872,52.65
206.0,3,2,1777,28204,94.07,538,2.098,114.872,38.01
208.0,3,2,1777,28204,94.07,553,1.813,116.873,62.25
210.0,3,2,1777,28204,94.07,540,2.056,118.873,52.63
212.0,3,2,1841,29640,94.15,536,2.086,120.872,37.52
214.0,3,2,1841,29640,94.15,557,1.762,122.872,68.8
216.0,3,2,1841,29640,94.15,553,1.958,124.872,49.19
218.0,3,2,1841,29640,94.15,547,2.486,126.872,45.73
220.0,3,2,1841,29640,94.15,562,2.366,128.872,71.32
222.0,3,2,1913,31068,94.2,552,1.908,130.872,50.58
224.0,3,2,1913,31068,94.2,544,2.212,132.872,46.62
226.0,3,2,1913,31068,94.2,555,1.813,134.872,65.98
228.0,3,2,1913,31068,94.2,554,1.951,136.872,46.92
230.0,3,2,1913,31068,94.2,543,2.121,138.872,50.22
232.0,3,2,1977,32504,94.27,559,1.584,140.872,63.68
234.0,3,2,1977,32504,94.27,550,2.019,142.872,53.83
236.0,3,2,1977,32504,94.27,545,2.313,144.872,46.58
238.0,3,2,1977,32504,94.27,561,1.542,146.872,61.08
240.0,3,2,1977,32504,94.27,550,2.038,148.872,52.58
242.0,3,2,2047,33932,94.31,539,2.157,150.872,44.05
244.0,3,2,2047,33932,94.31,559,1.136,152.872,63.03
246.0,3,2,2047,33932,94.31,554,2.013,154.872,59.93
248.0,3,2,2047,33932,94.31,541,2.224,156.872,43.23
250.0,3,2,2047,33932,94.31,564,1.207,158.872,69.84
252.0,3,2,2119,35360,94.35,552,2.223,160.872,58.79
254.0,3,2,2119,35360,94.35,542,2.358,162.872,41.75
256.0,3,2,2119,35360,94.35,558,1.48,164.872,69.75
258.0,3,2,2119,35360,94.35,547,2.112,166.872,56.32
260.0,3,2,2119,35360,94.35,544,2.265,168.872,39.97
262.0,3,2,2180,36798,94.41,558,1.362,170.872,72.96
264.0,3,2,2180,36798,94.41,550,1.915,172.872,54.5
266.0,3,2,2180,36798,94.41,541,2.041,174.872,48.49
268.0,3,2,2180,36798,94.41,553,1.553,176.872,74.17
270.0,3,2,2180,36798,94.41,553,2.182,178.872,52.59
272.0,3,2,2247,38229,94.45,540,2.258,180.873,47.75
274.0,3,2,2247,38229,94.45,555,1.584,182.872,71.97
276.0,3,2,2247,38229,94.45,552,1.907,184.872,51.1
278.0,3,2,2247,38229,94.45,539,2.403,186.872,48.68
280.0,3,2,2247,38229,94.45,555,1.359,188.872,69.19
282.0,3,2,2313,39662,94.49,549,1.851,190.872,54.39
284.0,3,2,2313,39662,94.49,537,2.243,192.872,50.7
286.0,3,2,2313,39662,94.49,540,2.287,194.872,45.08
288.0,3,2,2313,39662,94.49,554,1.717,196.872,61.59
290.0,3,2,2313,39662,94.49,546,2.355,198.872,50.69
292.0,3,2,2380,41095,94.53,543,2.358,200.872,45.49
294.0,3,2,2380,41095,94.53,553,2.044,202.872,64.48
296.0,3,2,2380,41095,94.53,544,2.301,204.872,49.01
298.0,3,2,2380,41095,94.53,536,2.321,206.872,35.68
300.0,3,2,2380,41095,94.53,546,1.883,208.872,65.52
302.0,3,2,2443,42530,94.57,542,2.117,210.872,46.53
304.0,3,2,2443,42530,94.57,535,2.044,212.872,44.4
306.0,3,2,2443,42530,94.57,546,1.955,214.872,63.84
308.0,3,2,2443,42530,94.57,540,2.1,216.872,45.4
310.0,3,2,2443,42530,94.57,533,2.461,218.872,42.2
312.0,3,2,2508,43965,94.6,551,1.888,220.873,59.45
314.0,3,2,2508,43965,94.6,553,2.045,222.872,42.37
316.0,3,2,2508,43965,94.6,542,2.469,224.872,46.94
318.0,3,2,2508,43965,94.6,561,1.809,226.873,59.49
320.0,3,2,2508,43965,94.6,552,1.808,228.872,52.84
322.0,3,2,2578,45392,94.63,540,2.419,230.872,45.14
324.0,3,2,2578,45392,94.63,562,1.96,232.872,58.25
326.0,3,2,2578,45392,94.63,551,2.19,234.872,50.88
328.0,3,2,2578,45392,94.63,543,2.536,236.872,42.57
330.0,3,2,2578,45392,94.63,559,1.457,238.872,62.43
332.0,3,2,2642,46828,94.66,544,2.08,240.872,60.57
334.0,3,2,2642,46828,94.66,542,2.252,242.872,43.71
336.0,3,2,2642,46828,94.66,569,1.552,244.872,71.52
338.0,3,2,2642,46828,94.66,563,2.145,246.872,59.54
340.0,3,2,2642,46828,94.66,562,2.534,248.872,42.33
342.0,3,2,2717,48252,94.67,576,1.822,250.872,71.21
344.0,3,2,2717,48252,94.67,565,2.526,252.872,57.22
346.0,3,2,2717,48252,94.67,554,2.376,254.872,48.4
348.0,3,2,2717,48252,94.67,562,1.821,256.872,78.95
350.0,3,2,2717,48252,94.67,552,2.468,258.872,57.6
352.0,3,2,2784,49685,94.69,544,2.208,260.872,46.62
354.0,3,2,2784,49685,94.69,555,1.812,262.872,73.71
356.0,3,2,2784,49685,94.69,554,2.265,264.873,52.38
358.0,3,2,2784,49685,94.69,543,2.147,266.872,48.45
360.0,3,2,2784,49685,94.69,547,1.608,268.872,73.35
362.0,3,2,2849,51120,94.72,555,2.154,270.872,53.28
364.0,3,2,2849,51120,94.72,541,2.562,272.872,46.26
366.0,3,2,2849,51120,94.72,553,1.617,274.872,70.88
368.0,3,2,2849,51120,94.72,556,2.075,276.872,50.31
370.0,3,2,2849,51120,94.72,547,2.457,278.872,51.74
372.0,3,2,2918,52549,94.74,567,1.415,280.872,69.37
374.0,3,2,2918,52549,94.74,561,2.035,282.872,58.95
376.0,3,2,2918,52549,94.74,553,2.489,284.872,49.68
378.0,3,2,2918,52549,94.74,545,2.374,286.872,48.56
380.0,3,2,2918,52549,94.74,560,2.137,288.872,60.23
382.0,3,2,2986,53981,94.76,551,2.464,290.872,49.15
384.0,3,2,2986,53981,94.76,543,2.161,292.872,52.69
386.0,3,2,2986,53981,94.76,557,2.272,294.872,62.68
388.0,3,2,2986,53981,94.76,547,2.534,296.872,47.28
390.0,3,2,2986,53981,94.76,544,2.257,298.872,49.64
392.0,3,2,3055,55411,94.77,554,2.218,300.872,63.61
394.0,3,2,3055,55411,94.77,561,2.541,302.872,52.47
396.0,3,2,3055,55411,94.77,550,2.295,304.872,45.97
398.0,3,2,3055,55411,94.77,565,2.368,306.872,62.78
400.0,3,2,3055,55411,94.77,555,2.809,308.872,44.7
402.0,3,2,3122,56842,94.79,540,2.82,310.872,47.13
404.0,3,2,3122,56842,94.79,559,2.374,312.872,57.8
406.0,3,2,3122,56842,94.79,553,2.327,314.872,44.81
408.0,3,2,3122,56842,94.79,543,2.559,316.872,44.8
410.0,3,2,3122,56842,94.79,562,2.218,318.872,57.08
412.0,3,2,3190,58273,94.81,545,2.143,320.872,51.33
414.0,3,2,3190,58273,94.81,535,2.6,322.872,43.68
416.0,3,2,3190,58273,94.81,558,1.996,324.872,55.87
418.0,3,2,3190,58273,94.81,548,2.285,326.872,49.31
420.0,3,2,3190,58273,94.81,537,2.46,328.872,41.03
422.0,3,2,3258,59705,94.83,563,1.934,330.872,54.71
424.0,3,2,3258,59705,94.83,554,2.385,332.872,54.04
426.0,3,2,3258,59705,94.83,548,2.788,334.872,46.74
428.0,3,2,3258,59705,94.83,564,1.85,336.872,65.82
430.0,3,2,3258,59705,94.83,549,2.529,338.872,54.34
432.0,3,2,3328,61133,94.84,542,2.945,340.872,38.65
434.0,3,2,3328,61133,94.84,561,2.165,342.872,64.66
436.0,3,2,3328,61133,94.84,546,2.217,344.872,52.62
438.0,3,2,3328,61133,94.84,544,2.668,346.872,41.64
440.0,3,2,3328,61133,94.84,557,2.155,348.872,69.17
442.0,3,2,3391,62570,94.86,545,2.287,350.872,50.3
444.0,3,2,3391,62570,94.86,541,2.342,352.872,45.19
446.0,3,2,3391,62570,94.86,552,2.312,354.872,67.97
448.0,3,2,3391,62570,94.86,544,2.382,356.872,48.31
450.0,3,2,3391,62570,94.86,536,2.494,358.872,44.4
452.0,3,2,3458,64003,94.87,553,2.201,360.872,63.46
454.0,3,2,3458,64003,94.87,552,2.401,362.872,45.2
456.0,3,2,3458,64003,94.87,546,2.568,364.872,47.12
458.0,3,2,3458,64003,94.87,565,2.185,366.872,63.41
460.0,3,2,3458,64003,94.87,556,2.39,368.872,46.1
462.0,3,2,3532,65429,94.88,554,2.738,370.872,48.08
464.0,3,2,3532,65429,94.88,565,2.055,372.872,62.13
466.0,3,2,3532,65429,94.88,554,2.229,374.872,55.0
468.0,3,2,3532,65429,94.88,543,2.682,376.872,45.58
470.0,3,2,3532,65429,94.88,560,1.908,378.872,60.42
472.0,3,2,3597,66864,94.9,549,2.666,380.872,51.3
474.0,3,2,3597,66864,94.9,540,2.453,382.872,42.72
476.0,3,2,3597,66864,94.9,555,1.571,384.872,61.81
478.0,3,2,3597,66864,94.9,548,2.506,386.872,58.47
480.0,3,2,3597,66864,94.9,544,2.629,388.872,45.03
482.0,3,2,3663,68297,94.91,560,1.827,390.872,68.4
484.0,3,2,3663,68297,94.91,549,2.663,392.872,57.66
486.0,3,2,3663,68297,94.91,547,2.703,394.872,41.0
488.0,3,2,3663,68297,94.91,558,1.848,396.872,69.15
490.0,3,2,3663,68297,94.91,549,2.543,398.872,55.55
492.0,3,2,3729,69730,94.92,550,2.554,400.872,39.95
494.0,3,2,3729,69730,94.92,566,1.843,402.872,77.28
496.0,3,2,3729,69730,94.92,560,2.702,404.872,56.42
498.0,3,2,3729,69730,94.92,553,2.949,406.872,45.33
500.0,3,2,3729,69730,94.92,564,2.384,408.872,71.38
502.0,3,2,3800,71158,94.93,561,2.487,410.872,50.69
504.0,3,2,3800,71158,94.93,551,2.564,412.872,47.68
506.0,3,2,3800,71158,94.93,572,2.029,414.872,70.62
508.0,3,2,3800,71158,94.93,562,2.354,416.872,50.22
510.0,3,2,3800,71158,94.93,552,2.761,418.872,50.07
512.0,3,2,3873,72585,94.93,562,1.922,420.872,68.58
514.0,3,2,3873,72585,94.93,553,2.365,422.872,51.74
516.0,3,2,3873,72585,94.93,541,2.822,424.872,50.15
518.0,3,2,3873,72585,94.93,553,1.974,426.872,66.73
520.0,3,2,3873,72585,94.93,548,2.233,428.872,57.0
522.0,3,2,3934,74023,94.95,542,2.74,430.872,47.57
524.0,3,2,3934,74023,94.95,568,1.545,432.872,68.34
526.0,3,2,3934,74023,94.95,563,2.466,434.872,57.62
528.0,3,2,3934,74023,94.95,556,2.656,436.872,47.77
530.0,3,2,3934,74023,94.95,564,1.768,438.872,68.45
532.0,3,2,4008,75449,94.96,557,2.482,440.872,63.36
534.0,3,2,4008,75449,94.96,548,2.558,442.872,45.6
536.0,3,2,4008,75449,94.96,567,1.814,444.872,76.47
538.0,3,2,4008,75449,94.96,557,2.669,446.872,61.67
540.0,3,2,4008,75449,94.96,549,2.697,448.872,43.84
542.0,3,2,4075,76880,94.97,563,1.976,450.872,84.05
544.0,3,2,4075,76880,94.97,554,2.47,452.872,64.73
546.0,3,2,4075,76880,94.97,545,2.433,454.872,46.07
548.0,3,2,4075,76880,94.97,556,2.008,456.872,80.36
550.0,3,2,4075,76880,94.97,550,2.479,458.873,57.02
552.0,3,2,4142,78313,94.98,561,2.233,460.873,57.94
554.0,3,2,4142,78313,94.98,567,2.092,462.872,77.91
556.0,3,2,4142,78313,94.98,567,2.542,464.872,55.38
558.0,3,2,4142,78313,94.98,557,2.419,466.872,50.32
560.0,3,2,4142,78313,94.98,563,2.149,468.872,76.59
562.0,3,2,4215,79739,94.98,566,2.533,470.872,54.4
564.0,3,2,4215,79739,94.98,554,2.768,472.873,52.72
566.0,3,2,4215,79739,94.98,543,2.894,474.872,39.73
568.0,3,2,4215,79739,94.98,564,2.112,476.872,61.43
570.0,3,2,4215,79739,94.98,552,2.706,478.872,56.52
572.0,3,2,4286,81166,94.98,548,2.887,480.872,43.15
574.0,3,2,4286,81166,94.98,561,2.265,482.872,68.11
576.0,3,2,4286,81166,94.98,557,2.693,484.872,59.01
578.0,3,2,4286,81166,94.98,553,3.005,486.872,40.11
580.0,3,2,4286,81166,94.98,563,2.452,488.872,66.47
582.0,3,2,4357,82595,94.99,553,2.697,490.872,53.61
584.0,3,2,4357,82595,94.99,548,2.823,492.873,38.78
586.0,3,2,4357,82595,94.99,560,2.41,494.872,73.49
588.0,3,2,4357,82595,94.99,552,2.654,496.872,52.73
590.0,3,2,4357,82595,94.99,543,2.603,498.873,47.2
592.0,3,2,4424,84027,95.0,555,2.343,500.872,68.93
594.0,3,2,4424,84027,95.0,546,2.684,502.872,49.02
596.0,3,2,4424,84027,95.0,536,2.797,504.872,45.21
598.0,3,2,4424,84027,95.0,562,2.101,506.872,67.64
600.0,3,2,4424,84027,95.0,557,2.584,508.873,48.05
602.0,3,2,4495,85456,95.0,546,2.846,510.872,47.77
604.0,3,2,4495,85456,95.0,560,1.926,512.872,66.21
606.0,3,2,4495,85456,95.0,555,2.462,514.872,56.42
608.0,3,2,4495,85456,95.0,545,2.805,516.873,48.44
610.0,3,2,4495,85456,95.0,564,1.906,518.872,64.45
612.0,3,2,4561,86890,95.01,555,2.565,520.872,55.35
614.0,3,2,4561,86890,95.01,542,3.032,522.872,45.67
616.0,3,2,4561,86890,95.01,558,1.66,524.873,65.21
618.0,3,2,4561,86890,95.01,548,2.697,526.872,58.54
620.0,3,2,4561,86890,95.01,541,3.125,528.872,44.73
622.0,3,2,4621,88330,95.03,555,1.817,530.873,67.26
624.0,3,2,4621,88330,95.03,548,2.723,532.872,61.45
626.0,3,2,4621,88330,95.03,557,2.907,534.872,51.38
628.0,3,2,4621,88330,95.03,569,2.047,536.872,72.73
630.0,3,2,4621,88330,95.03,560,2.823,538.872,58.5
632.0,3,2,4688,89763,95.04,553,3.079,540.873,46.13
634.0,3,2,4688,89763,95.04,566,2.385,542.872,78.98
636.0,3,2,4688,89763,95.04,561,2.75,544.872,61.54
638.0,3,2,4688,89763,95.04,556,2.992,546.872,43.6
640.0,3,2,4688,89763,95.04,563,2.316,548.873,77.3
642.0,3,2,4765,91186,95.03,556,2.725,550.873,54.63
644.0,3,2,4765,91186,95.03,548,2.711,552.873,50.25
646.0,3,2,4765,91186,95.03,555,2.504,554.873,76.06
648.0,3,2,4765,91186,95.03,558,2.699,556.873,54.06
650.0,3,2,4765,91186,95.03,548,2.755,558.873,49.09
652.0,3,2,4835,92614,95.04,559,2.432,560.872,74.11
654.0,3,2,4835,92614,95.04,559,2.518,562.872,52.65
656.0,3,2,4835,92614,95.04,548,2.681,564.872,54.18
658.0,3,2,4835,92614,95.04,558,2.266,566.872,72.1
660.0,3,2,4835,92614,95.04,557,2.302,568.872,60.46
662.0,3,2,4898,94051,95.05,550,2.719,570.872,57.08
664.0,3,2,4898,94051,95.05,544,3.246,572.872,43.77
666.0,3,2,4898,94051,95.05,563,2.51,574.873,61.91
668.0,3,2,4898,94051,95.05,553,2.905,576.872,50.83
670.0,3,2,4898,94051,95.05,550,3.133,578.872,39.1
672.0,3,2,4970,95479,95.05,560,2.681,580.873,64.76
674.0,3,2,4970,95479,95.05,550,2.791,582.873,48.93
676.0,3,2,4970,95479,95.05,546,2.81,584.872,40.81
678.0,3,2,4970,95479,95.05,557,2.859,586.872,65.59
680.0,3,2,4970,95479,95.05,546,2.8,588.873,48.14
682.0,3,2,5034,96914,95.06,541,2.662,590.872,53.61
684.0,3,2,5034,96914,95.06,560,2.807,592.872,67.23
686.0,3,2,5034,96914,95.06,551,2.976,594.872,48.75
688.0,3,2,5034,96914,95.06,545,3.164,596.872,44.97
690.0,3,2,5034,96914,95.06,555,2.768,598.872,60.57
692.0,3,2,5106,98342,95.06,548,2.852,600.873,43.84
694.0,3,2,5106,98342,95.06,536,3.128,602.872,47.67
696.0,3,2,5106,98342,95.06,551,2.667,604.872,59.84
698.0,3,2,5106,98342,95.06,547,2.828,606.872,52.18
700.0,3,2,5106,98342,95.06,534,3.241,608.872,44.62
702.0,3,2,5173,99775,95.07,554,2.56,610.872,57.87
704.0,3,2,5173,99775,95.07,548,3.075,612.872,50.57
706.0,3,2,5173,99775,95.07,542,3.084,614.872,50.48
708.0,3,2,5173,99775,95.07,556,2.329,616.872,56.0
710.0,3,2,5173,99775,95.07,544,2.979,618.872,55.28
712.0,3,2,5237,101211,95.08,534,2.985,620.872,50.46
714.0,3,2,5237,101211,95.08,558,2.159,622.872,62.53
716.0,3,2,5237,101211,95.08,548,3.026,624.872,55.76
718.0,3,2,5237,101211,95.08,541,3.138,626.873,39.78
720.0,3,2,5237,101211,95.08,556,2.179,628.872,66.19
722.0,3,2,5308,102640,95.08,545,3.187,630.872,53.36
724.0,3,2,5308,102640,95.08,545,3.125,632.872,37.99
726.0,3,2,5308,102640,95.08,558,2.344,634.872,65.11
728.0,3,2,5308,102640,95.08,548,3.086,636.872,50.09
730.0,3,2,5308,102640,95.08,547,2.871,638.872,41.74
732.0,3,2,5377,104069,95.09,563,2.481,640.872,70.03
734.0,3,2,5377,104069,95.09,559,2.984,642.872,49.84
736.0,3,2,5377,104069,95.09,548,3.035,644.873,46.22
738.0,3,2,5377,104069,95.09,557,2.634,646.872,65.79
740.0,3,2,5377,104069,95.09,553,2.992,648.872,46.82
742.0,3,2,5445,105501,95.09,545,3.282,650.872,43.2
